country_iso3,indicator,year,value,unit,source,subcategory
USA,mineraux_reserves,2024,20000.0,thousand metric dry tons,MCS USGS,bauxite
AUS,mineraux_production,2023,104000.0,thousand metric dry tons,MCS USGS,bauxite
AUS,mineraux_production,2024,100000.0,thousand metric dry tons,MCS USGS,bauxite
AUS,mineraux_reserves,2024,3500000.0,thousand metric dry tons,MCS USGS,bauxite
BRA,mineraux_production,2023,32000.0,thousand metric dry tons,MCS USGS,bauxite
BRA,mineraux_production,2024,33000.0,thousand metric dry tons,MCS USGS,bauxite
BRA,mineraux_reserves,2024,2700000.0,thousand metric dry tons,MCS USGS,bauxite
CHN,mineraux_production,2023,91000.0,thousand metric dry tons,MCS USGS,bauxite
CHN,mineraux_production,2024,93000.0,thousand metric dry tons,MCS USGS,bauxite
CHN,mineraux_reserves,2024,680000.0,thousand metric dry tons,MCS USGS,bauxite
GRC,mineraux_production,2023,1200.0,thousand metric dry tons,MCS USGS,bauxite
GRC,mineraux_production,2024,1200.0,thousand metric dry tons,MCS USGS,bauxite
GIN,mineraux_production,2023,123000.0,thousand metric dry tons,MCS USGS,bauxite
GIN,mineraux_production,2024,130000.0,thousand metric dry tons,MCS USGS,bauxite
GIN,mineraux_reserves,2024,7400000.0,thousand metric dry tons,MCS USGS,bauxite
IND,mineraux_production,2023,23400.0,thousand metric dry tons,MCS USGS,bauxite
IND,mineraux_production,2024,25000.0,thousand metric dry tons,MCS USGS,bauxite
IND,mineraux_reserves,2024,650000.0,thousand metric dry tons,MCS USGS,bauxite
IDN,mineraux_production,2023,30000.0,thousand metric dry tons,MCS USGS,bauxite
IDN,mineraux_production,2024,32000.0,thousand metric dry tons,MCS USGS,bauxite
IDN,mineraux_reserves,2024,2800000.0,thousand metric dry tons,MCS USGS,bauxite
JAM,mineraux_production,2023,6000.0,thousand metric dry tons,MCS USGS,bauxite
JAM,mineraux_production,2024,6100.0,thousand metric dry tons,MCS USGS,bauxite
JAM,mineraux_reserves,2024,2000000.0,thousand metric dry tons,MCS USGS,bauxite
KAZ,mineraux_production,2023,4560.0,thousand metric dry tons,MCS USGS,bauxite
KAZ,mineraux_production,2024,4900.0,thousand metric dry tons,MCS USGS,bauxite
KAZ,mineraux_reserves,2024,280000.0,thousand metric dry tons,MCS USGS,bauxite
RUS,mineraux_production,2023,5800.0,thousand metric dry tons,MCS USGS,bauxite
RUS,mineraux_production,2024,6300.0,thousand metric dry tons,MCS USGS,bauxite
RUS,mineraux_reserves,2024,480000.0,thousand metric dry tons,MCS USGS,bauxite
SAU,mineraux_production,2023,5400.0,thousand metric dry tons,MCS USGS,bauxite
SAU,mineraux_production,2024,5800.0,thousand metric dry tons,MCS USGS,bauxite
SAU,mineraux_reserves,2024,180000.0,thousand metric dry tons,MCS USGS,bauxite
TUR,mineraux_production,2023,2940.0,thousand metric dry tons,MCS USGS,bauxite
TUR,mineraux_production,2024,3200.0,thousand metric dry tons,MCS USGS,bauxite
TUR,mineraux_reserves,2024,69000.0,thousand metric dry tons,MCS USGS,bauxite
VNM,mineraux_production,2023,3920.0,thousand metric dry tons,MCS USGS,bauxite
VNM,mineraux_production,2024,4200.0,thousand metric dry tons,MCS USGS,bauxite
VNM,mineraux_reserves,2024,3100000.0,thousand metric dry tons,MCS USGS,bauxite
USA,mineraux_reserves,2024,630.0,thousand metric tons,MCS USGS,chrome
BRA,mineraux_production,2023,1420.0,thousand metric tons,MCS USGS,chrome
BRA,mineraux_production,2024,1400.0,thousand metric tons,MCS USGS,chrome
BRA,mineraux_reserves,2024,6600.0,thousand metric tons,MCS USGS,chrome
FIN,mineraux_production,2023,1910.0,thousand metric tons,MCS USGS,chrome
FIN,mineraux_production,2024,1900.0,thousand metric tons,MCS USGS,chrome
FIN,mineraux_reserves,2024,8300.0,thousand metric tons,MCS USGS,chrome
IND,mineraux_production,2023,4100.0,thousand metric tons,MCS USGS,chrome
IND,mineraux_production,2024,4100.0,thousand metric tons,MCS USGS,chrome
IND,mineraux_reserves,2024,79000.0,thousand metric tons,MCS USGS,chrome
KAZ,mineraux_production,2023,6000.0,thousand metric tons,MCS USGS,chrome
KAZ,mineraux_production,2024,6500.0,thousand metric tons,MCS USGS,chrome
KAZ,mineraux_reserves,2024,320000.0,thousand metric tons,MCS USGS,chrome
ZAF,mineraux_production,2023,19700.0,thousand metric tons,MCS USGS,chrome
ZAF,mineraux_production,2024,21000.0,thousand metric tons,MCS USGS,chrome
ZAF,mineraux_reserves,2024,200000.0,thousand metric tons,MCS USGS,chrome
TUR,mineraux_production,2023,8160.0,thousand metric tons,MCS USGS,chrome
TUR,mineraux_production,2024,8000.0,thousand metric tons,MCS USGS,chrome
TUR,mineraux_reserves,2024,27000.0,thousand metric tons,MCS USGS,chrome
ZWE,mineraux_production,2023,1070.0,thousand metric tons,MCS USGS,chrome
ZWE,mineraux_production,2024,1100.0,thousand metric tons,MCS USGS,chrome
ZWE,mineraux_reserves,2024,540000.0,thousand metric tons,MCS USGS,chrome
USA,mineraux_production,2023,500.0,metric tons,MCS USGS,cobalt
USA,mineraux_production,2024,300.0,metric tons,MCS USGS,cobalt
USA,mineraux_reserves,2024,70000.0,metric tons,MCS USGS,cobalt
AUS,mineraux_production,2023,5220.0,metric tons,MCS USGS,cobalt
AUS,mineraux_production,2024,3600.0,metric tons,MCS USGS,cobalt
AUS,mineraux_reserves,2024,1700000.0,metric tons,MCS USGS,cobalt
CAN,mineraux_production,2023,4220.0,metric tons,MCS USGS,cobalt
CAN,mineraux_production,2024,4500.0,metric tons,MCS USGS,cobalt
CAN,mineraux_reserves,2024,220000.0,metric tons,MCS USGS,cobalt
COD,mineraux_production,2023,175000.0,metric tons,MCS USGS,cobalt
COD,mineraux_production,2024,220000.0,metric tons,MCS USGS,cobalt
COD,mineraux_reserves,2024,6000000.0,metric tons,MCS USGS,cobalt
CUB,mineraux_production,2023,3300.0,metric tons,MCS USGS,cobalt
CUB,mineraux_production,2024,3500.0,metric tons,MCS USGS,cobalt
CUB,mineraux_reserves,2024,500000.0,metric tons,MCS USGS,cobalt
IDN,mineraux_production,2023,19000.0,metric tons,MCS USGS,cobalt
IDN,mineraux_production,2024,28000.0,metric tons,MCS USGS,cobalt
IDN,mineraux_reserves,2024,640000.0,metric tons,MCS USGS,cobalt
MDG,mineraux_production,2023,4000.0,metric tons,MCS USGS,cobalt
MDG,mineraux_production,2024,2600.0,metric tons,MCS USGS,cobalt
MDG,mineraux_reserves,2024,100000.0,metric tons,MCS USGS,cobalt
NCL,mineraux_production,2023,2570.0,metric tons,MCS USGS,cobalt
NCL,mineraux_production,2024,1500.0,metric tons,MCS USGS,cobalt
PNG,mineraux_production,2023,3070.0,metric tons,MCS USGS,cobalt
PNG,mineraux_production,2024,2800.0,metric tons,MCS USGS,cobalt
PNG,mineraux_reserves,2024,62000.0,metric tons,MCS USGS,cobalt
PHL,mineraux_production,2023,3800.0,metric tons,MCS USGS,cobalt
PHL,mineraux_production,2024,3800.0,metric tons,MCS USGS,cobalt
PHL,mineraux_reserves,2024,260000.0,metric tons,MCS USGS,cobalt
RUS,mineraux_production,2023,8700.0,metric tons,MCS USGS,cobalt
RUS,mineraux_production,2024,8700.0,metric tons,MCS USGS,cobalt
RUS,mineraux_reserves,2024,250000.0,metric tons,MCS USGS,cobalt
TUR,mineraux_production,2023,2500.0,metric tons,MCS USGS,cobalt
TUR,mineraux_production,2024,2700.0,metric tons,MCS USGS,cobalt
TUR,mineraux_reserves,2024,91000.0,metric tons,MCS USGS,cobalt
USA,mineraux_production,2023,1130.0,thousand metric tons,MCS USGS,cuivre
USA,mineraux_production,2024,1100.0,thousand metric tons,MCS USGS,cuivre
USA,mineraux_reserves,2024,47000.0,thousand metric tons,MCS USGS,cuivre
AUS,mineraux_production,2023,778.0,thousand metric tons,MCS USGS,cuivre
AUS,mineraux_production,2024,800.0,thousand metric tons,MCS USGS,cuivre
AUS,mineraux_reserves,2024,100000.0,thousand metric tons,MCS USGS,cuivre
CAN,mineraux_production,2023,500.0,thousand metric tons,MCS USGS,cuivre
CAN,mineraux_production,2024,450.0,thousand metric tons,MCS USGS,cuivre
CAN,mineraux_reserves,2024,8300.0,thousand metric tons,MCS USGS,cuivre
CHL,mineraux_production,2023,5250.0,thousand metric tons,MCS USGS,cuivre
CHL,mineraux_production,2024,5300.0,thousand metric tons,MCS USGS,cuivre
CHL,mineraux_reserves,2024,190000.0,thousand metric tons,MCS USGS,cuivre
CHN,mineraux_production,2023,1820.0,thousand metric tons,MCS USGS,cuivre
CHN,mineraux_production,2024,1800.0,thousand metric tons,MCS USGS,cuivre
CHN,mineraux_reserves,2024,41000.0,thousand metric tons,MCS USGS,cuivre
COD,mineraux_production,2023,2930.0,thousand metric tons,MCS USGS,cuivre
COD,mineraux_production,2024,3300.0,thousand metric tons,MCS USGS,cuivre
COD,mineraux_reserves,2024,80000.0,thousand metric tons,MCS USGS,cuivre
IND,mineraux_production,2023,27.0,thousand metric tons,MCS USGS,cuivre
IND,mineraux_production,2024,30.0,thousand metric tons,MCS USGS,cuivre
IND,mineraux_reserves,2024,2200.0,thousand metric tons,MCS USGS,cuivre
IDN,mineraux_production,2023,907.0,thousand metric tons,MCS USGS,cuivre
IDN,mineraux_production,2024,1100.0,thousand metric tons,MCS USGS,cuivre
IDN,mineraux_reserves,2024,21000.0,thousand metric tons,MCS USGS,cuivre
KAZ,mineraux_production,2023,740.0,thousand metric tons,MCS USGS,cuivre
KAZ,mineraux_production,2024,740.0,thousand metric tons,MCS USGS,cuivre
KAZ,mineraux_reserves,2024,20000.0,thousand metric tons,MCS USGS,cuivre
MEX,mineraux_production,2023,699.0,thousand metric tons,MCS USGS,cuivre
MEX,mineraux_production,2024,700.0,thousand metric tons,MCS USGS,cuivre
MEX,mineraux_reserves,2024,53000.0,thousand metric tons,MCS USGS,cuivre
PER,mineraux_production,2023,2760.0,thousand metric tons,MCS USGS,cuivre
PER,mineraux_production,2024,2600.0,thousand metric tons,MCS USGS,cuivre
PER,mineraux_reserves,2024,100000.0,thousand metric tons,MCS USGS,cuivre
POL,mineraux_production,2023,395.0,thousand metric tons,MCS USGS,cuivre
POL,mineraux_production,2024,410.0,thousand metric tons,MCS USGS,cuivre
POL,mineraux_reserves,2024,34000.0,thousand metric tons,MCS USGS,cuivre
RUS,mineraux_production,2023,890.0,thousand metric tons,MCS USGS,cuivre
RUS,mineraux_production,2024,930.0,thousand metric tons,MCS USGS,cuivre
RUS,mineraux_reserves,2024,80000.0,thousand metric tons,MCS USGS,cuivre
ZMB,mineraux_production,2023,712.0,thousand metric tons,MCS USGS,cuivre
ZMB,mineraux_production,2024,680.0,thousand metric tons,MCS USGS,cuivre
ZMB,mineraux_reserves,2024,21000.0,thousand metric tons,MCS USGS,cuivre
USA,mineraux_production,2023,170.0,metric tons,MCS USGS,or
USA,mineraux_production,2024,160.0,metric tons,MCS USGS,or
USA,mineraux_reserves,2024,3000.0,metric tons,MCS USGS,or
AUS,mineraux_production,2023,296.0,metric tons,MCS USGS,or
AUS,mineraux_production,2024,290.0,metric tons,MCS USGS,or
AUS,mineraux_reserves,2024,12000.0,metric tons,MCS USGS,or
BRA,mineraux_production,2023,71.0,metric tons,MCS USGS,or
BRA,mineraux_production,2024,70.0,metric tons,MCS USGS,or
BRA,mineraux_reserves,2024,2400.0,metric tons,MCS USGS,or
BFA,mineraux_production,2023,57.0,metric tons,MCS USGS,or
BFA,mineraux_production,2024,60.0,metric tons,MCS USGS,or
CAN,mineraux_production,2023,198.0,metric tons,MCS USGS,or
CAN,mineraux_production,2024,200.0,metric tons,MCS USGS,or
CAN,mineraux_reserves,2024,3200.0,metric tons,MCS USGS,or
CHN,mineraux_production,2023,375.0,metric tons,MCS USGS,or
CHN,mineraux_production,2024,380.0,metric tons,MCS USGS,or
CHN,mineraux_reserves,2024,3100.0,metric tons,MCS USGS,or
COL,mineraux_production,2023,61.0,metric tons,MCS USGS,or
COL,mineraux_production,2024,60.0,metric tons,MCS USGS,or
COL,mineraux_reserves,2024,700.0,metric tons,MCS USGS,or
GHA,mineraux_production,2023,126.0,metric tons,MCS USGS,or
GHA,mineraux_production,2024,130.0,metric tons,MCS USGS,or
GHA,mineraux_reserves,2024,1000.0,metric tons,MCS USGS,or
IDN,mineraux_production,2023,100.0,metric tons,MCS USGS,or
IDN,mineraux_production,2024,100.0,metric tons,MCS USGS,or
IDN,mineraux_reserves,2024,3600.0,metric tons,MCS USGS,or
KAZ,mineraux_production,2023,133.0,metric tons,MCS USGS,or
KAZ,mineraux_production,2024,130.0,metric tons,MCS USGS,or
KAZ,mineraux_reserves,2024,2300.0,metric tons,MCS USGS,or
MLI,mineraux_production,2023,67.0,metric tons,MCS USGS,or
MLI,mineraux_production,2024,70.0,metric tons,MCS USGS,or
MLI,mineraux_reserves,2024,800.0,metric tons,MCS USGS,or
MEX,mineraux_production,2023,127.0,metric tons,MCS USGS,or
MEX,mineraux_production,2024,130.0,metric tons,MCS USGS,or
MEX,mineraux_reserves,2024,1400.0,metric tons,MCS USGS,or
PER,mineraux_production,2023,100.0,metric tons,MCS USGS,or
PER,mineraux_production,2024,100.0,metric tons,MCS USGS,or
PER,mineraux_reserves,2024,2500.0,metric tons,MCS USGS,or
RUS,mineraux_production,2023,313.0,metric tons,MCS USGS,or
RUS,mineraux_production,2024,310.0,metric tons,MCS USGS,or
RUS,mineraux_reserves,2024,12000.0,metric tons,MCS USGS,or
ZAF,mineraux_production,2023,104.0,metric tons,MCS USGS,or
ZAF,mineraux_production,2024,100.0,metric tons,MCS USGS,or
ZAF,mineraux_reserves,2024,5000.0,metric tons,MCS USGS,or
TZA,mineraux_production,2023,55.0,metric tons,MCS USGS,or
TZA,mineraux_production,2024,60.0,metric tons,MCS USGS,or
TZA,mineraux_reserves,2024,400.0,metric tons,MCS USGS,or
UZB,mineraux_production,2023,120.0,metric tons,MCS USGS,or
UZB,mineraux_production,2024,120.0,metric tons,MCS USGS,or
UZB,mineraux_reserves,2024,1800.0,metric tons,MCS USGS,or
AUT,mineraux_production,2023,500.0,metric tons,MCS USGS,graphite
AUT,mineraux_production,2024,500.0,metric tons,MCS USGS,graphite
BRA,mineraux_production,2023,66300.0,metric tons,MCS USGS,graphite
BRA,mineraux_production,2024,68000.0,metric tons,MCS USGS,graphite
BRA,mineraux_reserves,2024,74000000.0,metric tons,MCS USGS,graphite
CAN,mineraux_production,2023,5470.0,metric tons,MCS USGS,graphite
CAN,mineraux_production,2024,20000.0,metric tons,MCS USGS,graphite
CAN,mineraux_reserves,2024,5900000.0,metric tons,MCS USGS,graphite
CHN,mineraux_production,2023,1210000.0,metric tons,MCS USGS,graphite
CHN,mineraux_production,2024,1270000.0,metric tons,MCS USGS,graphite
CHN,mineraux_reserves,2024,81000000.0,metric tons,MCS USGS,graphite
DEU,mineraux_production,2023,180.0,metric tons,MCS USGS,graphite
DEU,mineraux_production,2024,170.0,metric tons,MCS USGS,graphite
IND,mineraux_production,2023,25600.0,metric tons,MCS USGS,graphite
IND,mineraux_production,2024,27800.0,metric tons,MCS USGS,graphite
IND,mineraux_reserves,2024,8600000.0,metric tons,MCS USGS,graphite
PRK,mineraux_production,2023,8100.0,metric tons,MCS USGS,graphite
PRK,mineraux_production,2024,8100.0,metric tons,MCS USGS,graphite
PRK,mineraux_reserves,2024,2000000.0,metric tons,MCS USGS,graphite
KOR,mineraux_production,2023,9620.0,metric tons,MCS USGS,graphite
KOR,mineraux_production,2024,9600.0,metric tons,MCS USGS,graphite
KOR,mineraux_reserves,2024,1800000.0,metric tons,MCS USGS,graphite
MDG,mineraux_production,2023,63000.0,metric tons,MCS USGS,graphite
MDG,mineraux_production,2024,89000.0,metric tons,MCS USGS,graphite
MDG,mineraux_reserves,2024,27000000.0,metric tons,MCS USGS,graphite
MEX,mineraux_production,2023,1300.0,metric tons,MCS USGS,graphite
MEX,mineraux_production,2024,900.0,metric tons,MCS USGS,graphite
MEX,mineraux_reserves,2024,3100000.0,metric tons,MCS USGS,graphite
MOZ,mineraux_production,2023,98000.0,metric tons,MCS USGS,graphite
MOZ,mineraux_production,2024,75000.0,metric tons,MCS USGS,graphite
MOZ,mineraux_reserves,2024,25000000.0,metric tons,MCS USGS,graphite
NOR,mineraux_production,2023,6480.0,metric tons,MCS USGS,graphite
NOR,mineraux_production,2024,7000.0,metric tons,MCS USGS,graphite
NOR,mineraux_reserves,2024,600000.0,metric tons,MCS USGS,graphite
RUS,mineraux_production,2023,15000.0,metric tons,MCS USGS,graphite
RUS,mineraux_production,2024,20000.0,metric tons,MCS USGS,graphite
RUS,mineraux_reserves,2024,14000000.0,metric tons,MCS USGS,graphite
LKA,mineraux_production,2023,3000.0,metric tons,MCS USGS,graphite
LKA,mineraux_production,2024,3300.0,metric tons,MCS USGS,graphite
LKA,mineraux_reserves,2024,1500000.0,metric tons,MCS USGS,graphite
TZA,mineraux_production,2023,13200.0,metric tons,MCS USGS,graphite
TZA,mineraux_production,2024,25000.0,metric tons,MCS USGS,graphite
TZA,mineraux_reserves,2024,18000000.0,metric tons,MCS USGS,graphite
TUR,mineraux_production,2023,2800.0,metric tons,MCS USGS,graphite
TUR,mineraux_production,2024,3100.0,metric tons,MCS USGS,graphite
TUR,mineraux_reserves,2024,6900000.0,metric tons,MCS USGS,graphite
UKR,mineraux_production,2023,1670.0,metric tons,MCS USGS,graphite
UKR,mineraux_production,2024,1200.0,metric tons,MCS USGS,graphite
VNM,mineraux_production,2023,2500.0,metric tons,MCS USGS,graphite
VNM,mineraux_production,2024,2000.0,metric tons,MCS USGS,graphite
VNM,mineraux_reserves,2024,9700000.0,metric tons,MCS USGS,graphite
USA,mineraux_production,2023,44700.0,thousand metric tons,MCS USGS,fer
USA,mineraux_production,2024,48000.0,thousand metric tons,MCS USGS,fer
USA,mineraux_reserves,2024,3600.0,thousand metric tons,MCS USGS,fer
AUS,mineraux_production,2023,953000.0,thousand metric tons,MCS USGS,fer
AUS,mineraux_production,2024,930000.0,thousand metric tons,MCS USGS,fer
AUS,mineraux_reserves,2024,58000.0,thousand metric tons,MCS USGS,fer
BRA,mineraux_production,2023,445000.0,thousand metric tons,MCS USGS,fer
BRA,mineraux_production,2024,440000.0,thousand metric tons,MCS USGS,fer
BRA,mineraux_reserves,2024,34000.0,thousand metric tons,MCS USGS,fer
CAN,mineraux_production,2023,59400.0,thousand metric tons,MCS USGS,fer
CAN,mineraux_production,2024,54000.0,thousand metric tons,MCS USGS,fer
CAN,mineraux_reserves,2024,6000.0,thousand metric tons,MCS USGS,fer
CHL,mineraux_production,2023,18100.0,thousand metric tons,MCS USGS,fer
CHL,mineraux_production,2024,18000.0,thousand metric tons,MCS USGS,fer
CHN,mineraux_production,2023,278000.0,thousand metric tons,MCS USGS,fer
CHN,mineraux_production,2024,270000.0,thousand metric tons,MCS USGS,fer
CHN,mineraux_reserves,2024,20000.0,thousand metric tons,MCS USGS,fer
IND,mineraux_production,2023,278000.0,thousand metric tons,MCS USGS,fer
IND,mineraux_production,2024,270000.0,thousand metric tons,MCS USGS,fer
IND,mineraux_reserves,2024,5500.0,thousand metric tons,MCS USGS,fer
IRN,mineraux_production,2023,85400.0,thousand metric tons,MCS USGS,fer
IRN,mineraux_production,2024,90000.0,thousand metric tons,MCS USGS,fer
IRN,mineraux_reserves,2024,3800.0,thousand metric tons,MCS USGS,fer
KAZ,mineraux_production,2023,28900.0,thousand metric tons,MCS USGS,fer
KAZ,mineraux_production,2024,30000.0,thousand metric tons,MCS USGS,fer
KAZ,mineraux_reserves,2024,2500.0,thousand metric tons,MCS USGS,fer
MRT,mineraux_production,2023,14100.0,thousand metric tons,MCS USGS,fer
MRT,mineraux_production,2024,15000.0,thousand metric tons,MCS USGS,fer
MEX,mineraux_production,2023,8500.0,thousand metric tons,MCS USGS,fer
MEX,mineraux_production,2024,8000.0,thousand metric tons,MCS USGS,fer
PER,mineraux_production,2023,20900.0,thousand metric tons,MCS USGS,fer
PER,mineraux_production,2024,21000.0,thousand metric tons,MCS USGS,fer
PER,mineraux_reserves,2024,2600.0,thousand metric tons,MCS USGS,fer
RUS,mineraux_production,2023,90900.0,thousand metric tons,MCS USGS,fer
RUS,mineraux_production,2024,91000.0,thousand metric tons,MCS USGS,fer
RUS,mineraux_reserves,2024,35000.0,thousand metric tons,MCS USGS,fer
ZAF,mineraux_production,2023,63200.0,thousand metric tons,MCS USGS,fer
ZAF,mineraux_production,2024,66000.0,thousand metric tons,MCS USGS,fer
ZAF,mineraux_reserves,2024,930.0,thousand metric tons,MCS USGS,fer
SWE,mineraux_production,2023,28900.0,thousand metric tons,MCS USGS,fer
SWE,mineraux_production,2024,28000.0,thousand metric tons,MCS USGS,fer
SWE,mineraux_reserves,2024,1300.0,thousand metric tons,MCS USGS,fer
TUR,mineraux_production,2023,16800.0,thousand metric tons,MCS USGS,fer
TUR,mineraux_production,2024,18000.0,thousand metric tons,MCS USGS,fer
TUR,mineraux_reserves,2024,150.0,thousand metric tons,MCS USGS,fer
UKR,mineraux_production,2023,41700.0,thousand metric tons,MCS USGS,fer
UKR,mineraux_production,2024,42000.0,thousand metric tons,MCS USGS,fer
UKR,mineraux_reserves,2024,6500.0,thousand metric tons,MCS USGS,fer
USA,mineraux_production,2023,28200.0,thousand metric tons,MCS USGS,fer
USA,mineraux_production,2024,30000.0,thousand metric tons,MCS USGS,fer
USA,mineraux_reserves,2024,2300.0,thousand metric tons,MCS USGS,fer
AUS,mineraux_production,2023,589000.0,thousand metric tons,MCS USGS,fer
AUS,mineraux_production,2024,580000.0,thousand metric tons,MCS USGS,fer
AUS,mineraux_reserves,2024,27000.0,thousand metric tons,MCS USGS,fer
BRA,mineraux_production,2023,280000.0,thousand metric tons,MCS USGS,fer
BRA,mineraux_production,2024,280000.0,thousand metric tons,MCS USGS,fer
BRA,mineraux_reserves,2024,15000.0,thousand metric tons,MCS USGS,fer
CAN,mineraux_production,2023,35700.0,thousand metric tons,MCS USGS,fer
CAN,mineraux_production,2024,32000.0,thousand metric tons,MCS USGS,fer
CAN,mineraux_reserves,2024,2300.0,thousand metric tons,MCS USGS,fer
CHL,mineraux_production,2023,11400.0,thousand metric tons,MCS USGS,fer
CHL,mineraux_production,2024,11000.0,thousand metric tons,MCS USGS,fer
CHN,mineraux_production,2023,174000.0,thousand metric tons,MCS USGS,fer
CHN,mineraux_production,2024,170000.0,thousand metric tons,MCS USGS,fer
CHN,mineraux_reserves,2024,6900.0,thousand metric tons,MCS USGS,fer
IND,mineraux_production,2023,172000.0,thousand metric tons,MCS USGS,fer
IND,mineraux_production,2024,170000.0,thousand metric tons,MCS USGS,fer
IND,mineraux_reserves,2024,3400.0,thousand metric tons,MCS USGS,fer
IRN,mineraux_production,2023,55900.0,thousand metric tons,MCS USGS,fer
IRN,mineraux_production,2024,59000.0,thousand metric tons,MCS USGS,fer
IRN,mineraux_reserves,2024,1500.0,thousand metric tons,MCS USGS,fer
KAZ,mineraux_production,2023,8890.0,thousand metric tons,MCS USGS,fer
KAZ,mineraux_production,2024,9200.0,thousand metric tons,MCS USGS,fer
KAZ,mineraux_reserves,2024,900.0,thousand metric tons,MCS USGS,fer
MRT,mineraux_production,2023,8790.0,thousand metric tons,MCS USGS,fer
MRT,mineraux_production,2024,9400.0,thousand metric tons,MCS USGS,fer
MEX,mineraux_production,2023,5350.0,thousand metric tons,MCS USGS,fer
MEX,mineraux_production,2024,5000.0,thousand metric tons,MCS USGS,fer
PER,mineraux_production,2023,14100.0,thousand metric tons,MCS USGS,fer
PER,mineraux_production,2024,14000.0,thousand metric tons,MCS USGS,fer
PER,mineraux_reserves,2024,1500.0,thousand metric tons,MCS USGS,fer
RUS,mineraux_production,2023,53300.0,thousand metric tons,MCS USGS,fer
RUS,mineraux_production,2024,53000.0,thousand metric tons,MCS USGS,fer
RUS,mineraux_reserves,2024,14000.0,thousand metric tons,MCS USGS,fer
ZAF,mineraux_production,2023,40200.0,thousand metric tons,MCS USGS,fer
ZAF,mineraux_production,2024,42000.0,thousand metric tons,MCS USGS,fer
ZAF,mineraux_reserves,2024,590.0,thousand metric tons,MCS USGS,fer
SWE,mineraux_production,2023,20400.0,thousand metric tons,MCS USGS,fer
SWE,mineraux_production,2024,20000.0,thousand metric tons,MCS USGS,fer
SWE,mineraux_reserves,2024,600.0,thousand metric tons,MCS USGS,fer
TUR,mineraux_production,2023,10100.0,thousand metric tons,MCS USGS,fer
TUR,mineraux_production,2024,11000.0,thousand metric tons,MCS USGS,fer
TUR,mineraux_reserves,2024,99.0,thousand metric tons,MCS USGS,fer
UKR,mineraux_production,2023,26100.0,thousand metric tons,MCS USGS,fer
UKR,mineraux_production,2024,26000.0,thousand metric tons,MCS USGS,fer
UKR,mineraux_reserves,2024,2300.0,thousand metric tons,MCS USGS,fer
USA,mineraux_production,2023,270.0,thousand metric tons,MCS USGS,plomb
USA,mineraux_production,2024,300.0,thousand metric tons,MCS USGS,plomb
USA,mineraux_reserves,2024,4600.0,thousand metric tons,MCS USGS,plomb
AUS,mineraux_production,2023,430.0,thousand metric tons,MCS USGS,plomb
AUS,mineraux_production,2024,430.0,thousand metric tons,MCS USGS,plomb
AUS,mineraux_reserves,2024,35000.0,thousand metric tons,MCS USGS,plomb
BOL,mineraux_production,2023,60.0,thousand metric tons,MCS USGS,plomb
BOL,mineraux_production,2024,60.0,thousand metric tons,MCS USGS,plomb
BOL,mineraux_reserves,2024,1600.0,thousand metric tons,MCS USGS,plomb
CHN,mineraux_production,2023,1960.0,thousand metric tons,MCS USGS,plomb
CHN,mineraux_production,2024,1900.0,thousand metric tons,MCS USGS,plomb
CHN,mineraux_reserves,2024,22000.0,thousand metric tons,MCS USGS,plomb
IND,mineraux_production,2023,226.0,thousand metric tons,MCS USGS,plomb
IND,mineraux_production,2024,220.0,thousand metric tons,MCS USGS,plomb
IND,mineraux_reserves,2024,1900.0,thousand metric tons,MCS USGS,plomb
IRN,mineraux_production,2023,60.0,thousand metric tons,MCS USGS,plomb
IRN,mineraux_production,2024,60.0,thousand metric tons,MCS USGS,plomb
